year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,delay_rate,cancel_rate,divert_rate,date,delay_category
2025,6,B6,JetBlue Airways,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",232,82,29.29,1.86,24.62,0.0,26.23,2,0,5547.0,2190.0,134.0,1248.0,0.0,1975.0,0.35344827586206895,0.008620689655172414,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,RIC,"Richmond, VA: Richmond International",146,46,17.43,2.33,12.91,0.0,13.33,0,0,2755.0,1030.0,188.0,671.0,0.0,866.0,0.3150684931506849,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,RNO,"Reno, NV: Reno/Tahoe International",17,9,1.23,0.26,4.51,0.0,3.0,0,0,616.0,81.0,40.0,276.0,0.0,219.0,0.5294117647058824,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,ROC,"Rochester, NY: Frederick Douglass Grtr Rochester International",54,26,9.6,0.0,3.8,0.0,12.6,0,0,2227.0,792.0,0.0,171.0,0.0,1264.0,0.48148148148148145,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,RSW,"Fort Myers, FL: Southwest Florida International",256,57,16.43,0.99,26.48,0.0,13.1,3,4,3580.0,1121.0,67.0,1431.0,0.0,961.0,0.22265625,0.01171875,0.015625,2025-06-01,poor
2025,6,B6,JetBlue Airways,SAN,"San Diego, CA: San Diego International",142,11,2.78,0.06,6.74,0.0,1.43,0,0,480.0,160.0,5.0,266.0,0.0,49.0,0.07746478873239436,0.0,0.0,2025-06-01,moderate
2025,6,B6,JetBlue Airways,SAV,"Savannah, GA: Savannah/Hilton Head International",112,35,9.13,0.0,19.31,0.0,6.56,1,1,1937.0,481.0,0.0,1095.0,0.0,361.0,0.3125,0.008928571428571428,0.008928571428571428,2025-06-01,poor
2025,6,B6,JetBlue Airways,SEA,"Seattle, WA: Seattle/Tacoma International",79,23,7.36,1.0,12.15,0.0,2.49,0,0,1158.0,350.0,27.0,711.0,0.0,70.0,0.2911392405063291,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,SFO,"San Francisco, CA: San Francisco International",379,77,15.25,2.1,28.12,1.0,30.53,2,0,6305.0,1337.0,280.0,1451.0,17.0,3220.0,0.20316622691292877,0.005277044854881266,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,SJU,"San Juan, PR: Luis Munoz Marin International",1005,205,96.79,11.32,41.63,1.78,53.48,1,0,12169.0,5463.0,799.0,2002.0,51.0,3854.0,0.20398009950248755,0.0009950248756218905,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,SLC,"Salt Lake City, UT: Salt Lake City International",49,20,3.1,0.0,13.98,0.0,2.93,0,0,1429.0,338.0,0.0,731.0,0.0,360.0,0.40816326530612246,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,SMF,"Sacramento, CA: Sacramento International",60,21,6.43,1.0,9.68,0.0,3.89,0,0,1218.0,275.0,23.0,708.0,0.0,212.0,0.35,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",48,8,4.73,0.0,2.43,0.0,0.85,0,0,394.0,243.0,0.0,83.0,0.0,68.0,0.16666666666666666,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,STT,"Charlotte Amalie, VI: Cyril E King",34,8,3.94,0.0,1.26,0.0,2.8,0,0,343.0,157.0,0.0,24.0,0.0,162.0,0.23529411764705882,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,STX,"Christiansted, VI: Henry E. Rohlsen",30,4,1.35,0.0,0.06,0.0,2.59,0,0,264.0,54.0,0.0,5.0,0.0,205.0,0.13333333333333333,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,SYR,"Syracuse, NY: Syracuse Hancock International",97,42,15.59,0.97,7.29,0.0,18.15,0,0,3022.0,793.0,110.0,420.0,0.0,1699.0,0.4329896907216495,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,TPA,"Tampa, FL: Tampa International",445,106,35.29,1.15,31.39,0.58,37.6,4,9,8745.0,2882.0,75.0,2041.0,11.0,3736.0,0.23820224719101124,0.008988764044943821,0.020224719101123594,2025-06-01,poor
2025,6,B6,JetBlue Airways,TVC,"Traverse City, MI: Cherry Capital",10,3,2.42,0.0,0.32,0.0,0.27,0,0,109.0,90.0,0.0,12.0,0.0,7.0,0.3,0.0,0.0,2025-06-01,poor
2025,6,C5,CommuteAir LLC dba CommuteAir,ALB,"Albany, NY: Albany International",119,46,19.05,3.02,10.56,0.0,13.37,1,0,7014.0,2409.0,1016.0,795.0,0.0,2794.0,0.3865546218487395,0.008403361344537815,0.0,2025-06-01,poor
2025,6,C5,CommuteAir LLC dba CommuteAir,AMA,"Amarillo, TX: Rick Husband Amarillo International",78,24,6.06,4.05,3.26,0.0,10.63,3,0,2715.0,1076.0,347.0,102.0,0.0,1190.0,0.3076923076923077,0.038461538461538464,0.0,2025-06-01,poor
2025,6,C5,CommuteAir LLC dba CommuteAir,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",81,26,10.59,2.98,4.5,0.0,7.93,0,0,3213.0,1407.0,205.0,179.0,0.0,1422.0,0.32098765432098764,0.0,0.0,2025-06-01,poor
